T05,Proportion of seats held by women in national parliament,,,,,,,
Region/Country/Area,,Year,Series,Last Election Date,Last Election Date footnote,Value,Footnotes,Source
30,Eastern Asia,2016,"Seats held by women in national parliament, as of February (%)",,,20.3691,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
30,Eastern Asia,2017,"Seats held by women in national parliament, as of February (%)",,,20.4814,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
30,Eastern Asia,2018,"Seats held by women in national parliament, as of February (%)",,,20.9344,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
30,Eastern Asia,2019,"Seats held by women in national parliament, as of February (%)",,,21.4492,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
35,South-eastern Asia,2000,"Seats held by women in national parliament, as of February (%)",,,12.3367,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
35,South-eastern Asia,2005,"Seats held by women in national parliament, as of February (%)",,,15.534,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
35,South-eastern Asia,2010,"Seats held by women in national parliament, as of February (%)",,,19.2786,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
35,South-eastern Asia,2015,"Seats held by women in national parliament, as of February (%)",,,17.8393,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
35,South-eastern Asia,2016,"Seats held by women in national parliament, as of February (%)",,,18.3039,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
35,South-eastern Asia,2017,"Seats held by women in national parliament, as of February (%)",,,19.3453,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
35,South-eastern Asia,2018,"Seats held by women in national parliament, as of February (%)",,,19.1474,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
35,South-eastern Asia,2019,"Seats held by women in national parliament, as of February (%)",,,19.6093,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
34,Southern Asia,2000,"Seats held by women in national parliament, as of February (%)",,,6.84,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
34,Southern Asia,2005,"Seats held by women in national parliament, as of February (%)",,,8.7895,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
34,Southern Asia,2010,"Seats held by women in national parliament, as of February (%)",,,18.2019,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
34,Southern Asia,2015,"Seats held by women in national parliament, as of February (%)",,,17.6449,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
34,Southern Asia,2016,"Seats held by women in national parliament, as of February (%)",,,17.6686,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
34,Southern Asia,2017,"Seats held by women in national parliament, as of February (%)",,,17.9647,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
34,Southern Asia,2018,"Seats held by women in national parliament, as of February (%)",,,13.918,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
34,Southern Asia,2019,"Seats held by women in national parliament, as of February (%)",,,15.7919,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
145,Western Asia,2000,"Seats held by women in national parliament, as of February (%)",,,5.1909,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
145,Western Asia,2005,"Seats held by women in national parliament, as of February (%)",,,5.7374,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
145,Western Asia,2010,"Seats held by women in national parliament, as of February (%)",,,9.2907,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
145,Western Asia,2015,"Seats held by women in national parliament, as of February (%)",,,12.8196,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
145,Western Asia,2016,"Seats held by women in national parliament, as of February (%)",,,13.2075,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
145,Western Asia,2017,"Seats held by women in national parliament, as of February (%)",,,13.8022,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
145,Western Asia,2018,"Seats held by women in national parliament, as of February (%)",,,14.2532,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
145,Western Asia,2019,"Seats held by women in national parliament, as of February (%)",,,15.3367,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
150,Europe,2000,"Seats held by women in national parliament, as of February (%)",,,16.7859,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
150,Europe,2005,"Seats held by women in national parliament, as of February (%)",,,20.4998,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
150,Europe,2010,"Seats held by women in national parliament, as of February (%)",,,23.2497,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
150,Europe,2015,"Seats held by women in national parliament, as of February (%)",,,26.7163,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
150,Europe,2016,"Seats held by women in national parliament, as of February (%)",,,27.1527,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
150,Europe,2017,"Seats held by women in national parliament, as of February (%)",,,28.0193,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
150,Europe,2018,"Seats held by women in national parliament, as of February (%)",,,28.8742,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
150,Europe,2019,"Seats held by women in national parliament, as of February (%)",,,29.7997,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
151,Eastern Europe,2000,"Seats held by women in national parliament, as of February (%)",,,9.5453,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
151,Eastern Europe,2005,"Seats held by women in national parliament, as of February (%)",,,14.0571,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
151,Eastern Europe,2010,"Seats held by women in national parliament, as of February (%)",,,15.2378,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
151,Eastern Europe,2015,"Seats held by women in national parliament, as of February (%)",,,16.9473,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
151,Eastern Europe,2016,"Seats held by women in national parliament, as of February (%)",,,17.6428,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
151,Eastern Europe,2017,"Seats held by women in national parliament, as of February (%)",,,19.4215,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
151,Eastern Europe,2018,"Seats held by women in national parliament, as of February (%)",,,19.985,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
151,Eastern Europe,2019,"Seats held by women in national parliament, as of February (%)",,,20.4733,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
154,Northern Europe,2000,"Seats held by women in national parliament, as of February (%)",,,26.9939,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
154,Northern Europe,2005,"Seats held by women in national parliament, as of February (%)",,,28.0264,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
154,Northern Europe,2010,"Seats held by women in national parliament, as of February (%)",,,29.5788,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
154,Northern Europe,2015,"Seats held by women in national parliament, as of February (%)",,,30.406,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
154,Northern Europe,2016,"Seats held by women in national parliament, as of February (%)",,,32.4835,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
154,Northern Europe,2017,"Seats held by women in national parliament, as of February (%)",,,33.3175,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
154,Northern Europe,2018,"Seats held by women in national parliament, as of February (%)",,,33.7915,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
154,Northern Europe,2019,"Seats held by women in national parliament, as of February (%)",,,35.1185,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
39,Southern Europe,2000,"Seats held by women in national parliament, as of February (%)",,,11.0159,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
39,Southern Europe,2005,"Seats held by women in national parliament, as of February (%)",,,17.0763,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
39,Southern Europe,2010,"Seats held by women in national parliament, as of February (%)",,,23.0043,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
39,Southern Europe,2015,"Seats held by women in national parliament, as of February (%)",,,29.9804,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
39,Southern Europe,2016,"Seats held by women in national parliament, as of February (%)",,,28.998,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
39,Southern Europe,2017,"Seats held by women in national parliament, as of February (%)",,,29.4025,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
39,Southern Europe,2018,"Seats held by women in national parliament, as of February (%)",,,29.8937,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
39,Southern Europe,2019,"Seats held by women in national parliament, as of February (%)",,,31.5457,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
155,Western Europe,2000,"Seats held by women in national parliament, as of February (%)",,,23.0315,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
155,Western Europe,2005,"Seats held by women in national parliament, as of February (%)",,,25.8261,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
155,Western Europe,2010,"Seats held by women in national parliament, as of February (%)",,,28.4422,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
155,Western Europe,2015,"Seats held by women in national parliament, as of February (%)",,,32,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
155,Western Europe,2016,"Seats held by women in national parliament, as of February (%)",,,32.15,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
155,Western Europe,2017,"Seats held by women in national parliament, as of February (%)",,,32.1161,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
155,Western Europe,2018,"Seats held by women in national parliament, as of February (%)",,,34.0231,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
155,Western Europe,2019,"Seats held by women in national parliament, as of February (%)",,,34.2156,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
9,Oceania,2000,"Seats held by women in national parliament, as of February (%)",,,11.3009,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
9,Oceania,2005,"Seats held by women in national parliament, as of February (%)",,,11.1834,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
9,Oceania,2010,"Seats held by women in national parliament, as of February (%)",,,13.1728,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
9,Oceania,2015,"Seats held by women in national parliament, as of February (%)",,,13.1649,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
9,Oceania,2016,"Seats held by women in national parliament, as of February (%)",,,13.4309,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
9,Oceania,2017,"Seats held by women in national parliament, as of February (%)",,,15.0266,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
9,Oceania,2018,"Seats held by women in national parliament, as of February (%)",,,15.508,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
9,Oceania,2019,"Seats held by women in national parliament, as of February (%)",,,16.3102,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
53,Australia and New Zealand,2000,"Seats held by women in national parliament, as of February (%)",,,25.4682,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
53,Australia and New Zealand,2005,"Seats held by women in national parliament, as of February (%)",,,26.2963,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
53,Australia and New Zealand,2010,"Seats held by women in national parliament, as of February (%)",,,30.1471,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
53,Australia and New Zealand,2015,"Seats held by women in national parliament, as of February (%)",,,28.7823,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
53,Australia and New Zealand,2016,"Seats held by women in national parliament, as of February (%)",,,28.7823,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
53,Australia and New Zealand,2017,"Seats held by women in national parliament, as of February (%)",,,31.1111,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
53,Australia and New Zealand,2018,"Seats held by women in national parliament, as of February (%)",,,32.963,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
53,Australia and New Zealand,2019,"Seats held by women in national parliament, as of February (%)",,,34.4444,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
54,Melanesia,2000,"Seats held by women in national parliament, as of February (%)",,,3.9146,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
54,Melanesia,2005,"Seats held by women in national parliament, as of February (%)",,,3.1915,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
54,Melanesia,2010,"Seats held by women in national parliament, as of February (%)",,,1.4218,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
54,Melanesia,2015,"Seats held by women in national parliament, as of February (%)",,,4.1825,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
54,Melanesia,2016,"Seats held by women in national parliament, as of February (%)",,,4.5627,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
54,Melanesia,2017,"Seats held by women in national parliament, as of February (%)",,,4.5627,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
54,Melanesia,2018,"Seats held by women in national parliament, as of February (%)",,,3.4884,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
54,Melanesia,2019,"Seats held by women in national parliament, as of February (%)",,,4.2636,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
57,Micronesia,2000,"Seats held by women in national parliament, as of February (%)",,,2.459,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
57,Micronesia,2005,"Seats held by women in national parliament, as of February (%)",,,2.439,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
57,Micronesia,2010,"Seats held by women in national parliament, as of February (%)",,,2.3622,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
57,Micronesia,2015,"Seats held by women in national parliament, as of February (%)",,,4.6875,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
57,Micronesia,2016,"Seats held by women in national parliament, as of February (%)",,,5.4688,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
57,Micronesia,2017,"Seats held by women in national parliament, as of February (%)",,,7.8125,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
57,Micronesia,2018,"Seats held by women in national parliament, as of February (%)",,,7.8125,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
57,Micronesia,2019,"Seats held by women in national parliament, as of February (%)",,,7.8125,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
61,Polynesia,2000,"Seats held by women in national parliament, as of February (%)",,,4.3956,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
61,Polynesia,2005,"Seats held by women in national parliament, as of February (%)",,,3.1915,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
61,Polynesia,2010,"Seats held by women in national parliament, as of February (%)",,,5.2083,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
61,Polynesia,2015,"Seats held by women in national parliament, as of February (%)",,,4.4444,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
61,Polynesia,2016,"Seats held by women in national parliament, as of February (%)",,,4.4444,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
61,Polynesia,2017,"Seats held by women in national parliament, as of February (%)",,,7.6923,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
61,Polynesia,2018,"Seats held by women in national parliament, as of February (%)",,,8.6957,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
61,Polynesia,2019,"Seats held by women in national parliament, as of February (%)",,,8.6957,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
